finalWorth,category,age,country,industries,birthYear,birthMonth,birthDay,cpi_country,gdp_country,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
5500,Manufacturing,68,China,Manufacturing,1955,3,1,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
9200,Diversified,79,Sweden,Diversified,1943,9,6,110.51,"$530,832,908,738 ",126.6,82.5,27.9,49.1,10285453
1800,Diversified,67,Nepal,Diversified,1955,4,14,188.73,"$30,641,380,604 ",142.1,70.5,20.7,41.8,28608710
2200,Technology,52,United States,Technology,1970,10,10,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2200,Fashion & Retail,61,United States,Fashion & Retail,1961,8,27,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
7000,Food & Beverage,71,United States,Food & Beverage,1952,2,26,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
1000,Manufacturing,59,Indonesia,Manufacturing,1963,4,30,151.18,"$1,119,190,780,753 ",106.4,71.5,10.2,30.1,270203917
1600,Healthcare,45,Switzerland,Healthcare,1978,2,20,99.55,"$703,082,435,360 ",105.2,83.6,10.1,28.8,8574832
2000,Construction & Engineering,80,India,Construction & Engineering,1942,8,1,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
2000,Construction & Engineering,53,India,Construction & Engineering,1969,6,30,180.44,"$2,611,000,000,000 ",113,69.4,11.2,49.7,1366417754
4200,Fashion & Retail,73,Indonesia,Fashion & Retail,1950,2,9,151.18,"$1,119,190,780,753 ",106.4,71.5,10.2,30.1,270203917
1700,Technology,30,United States,Technology,1992,9,19,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
2500,Energy,53,Singapore,Energy,1970,2,22,114.41,"$372,062,527,489 ",100.6,83.1,13.1,21,5703569
3700,Manufacturing,56,China,Manufacturing,1966,4,7,125.08,"$19,910,000,000,000 ",100.2,77,9.4,59.2,1397715000
4200,Service,65,Israel,Service,1957,9,9,108.15,"$395,098,666,122 ",104.9,82.8,23.1,25.3,9053300
5600,Healthcare,65,South Korea,Healthcare,1957,10,23,115.16,"$2,029,000,000,000 ",98.1,82.6,15.6,33.2,51709098
1300,Technology,66,United States,Technology,1957,1,23,117.24,"$21,427,700,000,000 ",101.8,78.5,9.6,36.6,328239523
